year,rank,country,gdp,gdp_percent
2020,1,the United States,2.09366E+13,0.270006495
2020,2,China,1.47227E+13,0.189870032
2020,3,Germany,3.80606E+12,0.049084424
2020,4,United Kingdom,2.70774E+12,0.034920112
2020,5,India,2.62298E+12,0.033827013
2020,6,France,2.603E+12,0.033569352
2020,7,Italy,1.88645E+12,0.024328328
2020,8,Canada,1.64341E+12,0.021194025
2020,9,South Korea,1.63053E+12,0.021027881
2020,10,Russia,1.4835E+12,0.019131761
2020,11,Brazil,1.44473E+12,0.018631839
2020,12,Australia,1.3309E+12,0.017163813
2020,13,Spain,1.2812E+12,0.016522839
2020,14,Mexico,1.07616E+12,0.013878619
2020,15,Indonesia,1.05842E+12,0.013649843
2020,16,Netherlands,9.12242E+11,0.01176463
2020,17,Switzerland,7.47969E+11,0.009646093
2020,18,Turkey,7.20101E+11,0.009286704
2020,19,Saudi Arabia,7.00118E+11,0.009028991
2020,20,Poland,5.94165E+11,0.007662578
2020,21,Sweden,5.3761E+11,0.006933225
2020,22,Belgium,5.15332E+11,0.006645927
2020,23,Thailand,5.01795E+11,0.006471342
2020,24,Nigeria,4.32294E+11,0.005575028
2020,25,Austria,4.28965E+11,0.005532104
2020,26,Ireland,4.18622E+11,0.005398709
2020,27,Israel,4.01954E+11,0.005183752
2020,28,Argentina,3.83067E+11,0.00494018
2020,29,Egypt,3.63069E+11,0.004682281
2020,30,Norway,3.62009E+11,0.004668608
2020,31,Philippines,3.61489E+11,0.004661907
2020,32,Denmark,3.55184E+11,0.004580591
2020,33,Hong Kong,3.46586E+11,0.004469706
2020,34,Singapore,3.39998E+11,0.004384752
2020,35,Malaysia,3.36664E+11,0.004341755
2020,36,Bangladesh,3.24239E+11,0.004181514
2020,37,South Africa,3.01924E+11,0.003893724
2020,38,Columbia,2.71347E+11,0.003499395
2020,39,Finland,2.71234E+11,0.003497937
2020,40,Vietnam,2.71158E+11,0.003496964
2020,41,Pakistan,2.63687E+11,0.003400604
2020,42,Chile,2.5294E+11,0.003262012
2020,43,Romania,2.48716E+11,0.003207532
2020,44,Czech,2.4353E+11,0.003140662
2020,45,Portugal,2.31256E+11,0.002982362
2020,46,New Zealand,2.12482E+11,0.00274025
2020,47,Peru,2.02014E+11,0.002605255
2020,48,Iran,1.91718E+11,0.002472473
2020,49,Greece,1.8941E+11,0.002442706
2020,50,Kazakhstan,1.69835E+11,0.002190263
2020,51,Iraq,1.67224E+11,0.002156591
2020,52,Ukraine,1.55582E+11,0.002006446
2020,53,Hungary,1.55013E+11,0.001999107
2020,54,Qatar,1.46374E+11,0.00188769
2020,55,Algeria,1.45164E+11,0.00187209
2020,56,Morocco,1.12871E+11,0.001455623
2020,57,Ethiopia,1.07645E+11,0.001388232
2020,58,Slovakia,1.04574E+11,0.001348629
2020,59,Puerto Rico,1.03138E+11,0.001330111
2020,60,Kenya,98842939649,0.001274717
2020,61,Ecuador,98808010000,0.001274266
2020,62,Sri Lanka,80706600228,0.001040824
2020,63,Dominica,78844702329,0.001016812
2020,64,Guatemala,77604632170,0.001000819
2020,65,Myanmar,76185586096,0.000982519
2020,66,Luxembourg,73263982103,0.000944841
2020,67,Garner,72354428864,0.000933111
2020,68,Bulgaria,69105101089,0.000891206
2020,69,Tanzania,62409748426,0.00080486
2020,70,Angola,62306913444,0.000803534
2020,71,Costa Rica,61520669890,0.000793394
2020,72,C ô te d'Ivoire,61348579465,0.000791175
2020,73,Belarus,60258239055,0.000777114
2020,74,Uzbekistan,57707189945,0.000744214
